и,and
стягивать/стянуть (+a),to tighten; pull off
табуретка,stool
тайком,secretly
творение,creation
текущий,current (adj)
терпение,patience
тополь (m),poplar
тост,toast
увозить/увезти (+a),to take away (by transport)
увлекательный,"fascinating, absorbing"
увы,alas!
удивлять/удивить (+a),to surprise
устав,"regulations, statutes"
установленный,"established, prescribed"
устоять (р),to remain standing; hold out
учебник,textbook
хлопоты (pl),"trouble, efforts"
цемент,cement
чайный,tea (adj)
чинить/по- (+a),to repair
чуять/по- (+a),"to scent, smell; sense, feel"
ширина,width; gauge
эпизод,episode
яростный,"furious, frenzied"
авария,breakdown; accident
авторитетный,"authoritative, trustworthy"
адский,hellish
актив,the activists; assets (financial)
аппетит,appetite
арабский,"Arab (adj), Arabian"
астрономический,astronomic(al)
балка,"beam, girder; gully"
безжалостно,"pitilessly, ruthlessly"
беззвучно,soundlessly
безоговорочный,unconditional
белокурый,"blond, fair-haired"
берёзовый,birch (adj)
бесконечность (f),infinity
бессильный,powerless
бессовестный,"shameless, unscrupulous"
битый,beaten; broken; whipped
бородка,small beard
бывало,"used to, would (repetition) (particle) (coll)"
ванна,bath
вежливый,polite
верблюд,camel
вертикально,vertically
виновник,culprit
внутрь (+g),inside; inwards
возглас,exclamation
возрождение,"rebirth, revival, renaissance"
восторженный,"enthusiastic, rapturous"
восхищение,"rapture, admiration"
впадина,"hollow, depression"
выкладывать/выложить (+a),"to lay out, put out, set out; (+a +inst) face, cover (sth with sth)"
вырезать (+a),to cut out
гасить/по- (+a),"to put out, extinguish; cancel"
гибнуть/по-,to perish
глобус,globe
глубинный,deep; deep-water; remote
гневный,angry
громада,"mass, bulk"
грубость (f),rudeness
грызть (i) (+a),to gnaw
диалог,dialogue
деловито,"in a businesslike way, energetically"
демонстрировать (i/p),"to demonstrate; (+a) show, display"
дёшево,cheaply
диапазон,"range, scope"
дипломатия,diplomacy
доводиться/довестись (+d +inf),"to chance to, manage to, have occasion to (coll)"
доживать/дожить (до +g),to live (till)
достопримечательность (f),"sight, place worth seeing"
древность (f),antiquity
желанный,"wished for, welcome"
женатый,married (of man)
жестокость (f),cruelty
забавный,amusing
закреплять/закрепить (+a),"to fasten, secure"
запрещённый,forbidden
запускать/запустить (+a),"to launch, throw; start up; thrust; start"
застывать/застыть,"to harden, thicken, congeal; (coll) become stiff"
затевать/затеять (+a),"to undertake, start, organize (coll)"
затихать/затихнуть,to die down
захват,"seizure, capture"
захватчик,invader
зловещий,"ominous, sinister"
зрачок,pupil (of eye)
игла,needle
изобретатель (m),inventor
калоша or галоша,"galosh, overshoe"
камешек,pebble
караул,"guard, watch"
каска,helmet
кисть (f),bunch (fruit); brush; tassel; hand
клятва,oath
кое-кто,somebody; certain people
комедия,comedy
кончик,"tip, point"
критиковать (i) (+a),to criticize
крутиться (i),"to turn, spin"
крыть/по- (+a),to cover
кубический,cubic
курносый,snub-nosed (coll)
лапоть (m),bast sandal
ласка,caress; weasel
лев,lion
ленивый,lazy
лить (i) (+a),to pour
лук,onions
местечко,place; small town
метаться (i),to rush about
меховой,fur (adj)
микроскоп,microscope
молоденький,young and attractive; very young
монтаж,"assembling, installation, mounting"
мудрый,wise
музыкант,musician
набивать/набить (+a +inst),to stuff (sth with sth)
наговаривать/наговорить (на +a) ,(coll) to slander s.o.; (+a or +g) say a lot of
нажимать/нажать (+a or на +a),to press
намерен (+inf),intend (to) (short adj)
наслаждение,physical pleasure
наследие,"legacy, heritage"
наследство,inheritance
настойчивость (f),persistence
настраивать/настроить (+a),"to tune, adjust; (на +a) put s.o. in the mood (for sth)"
невероятный,improbable; incredible
негде,there is nowhere
недалёкий,"near; dim, dull-witted"
